Table F-1: Women in conventional households aged 15 - 54 by children ever born to ever-married women and children dead, by age of mother						
table_f1						
state_code	state_name	age_group	women	women_ever_married	children_ever_born	children_dead
text	text	text	integer	integer	integer	integer
MMR009	Magway	35 - 39	157,776	126,025	344,726	44,627
MMR009	Magway	40 - 44	145,917	120,342	404,111	58,398
MMR009	Magway	45 - 49	131,877	111,116	428,300	67,672
MMR009	Magway	50 - 54	113,481	97,089	421,681	71,368
MMR010	Mandalay	Total	1,898,002	1,169,495	2,910,383	276,687
MMR010	Mandalay	15 - 19	272,639	29,895	8,707	376
MMR010	Mandalay	20 - 24	273,358	111,557	82,753	4,070
MMR010	Mandalay	25 - 29	266,964	168,343	222,148	13,349
MMR010	Mandalay	30 - 34	253,369	186,842	365,755	26,401
MMR010	Mandalay	35 - 39	238,954	186,391	485,232	40,598
MMR010	Mandalay	40 - 44	221,314	178,538	566,511	54,467
MMR010	Mandalay	45 - 49	203,728	168,063	610,299	67,006
MMR010	Mandalay	50 - 54	167,676	139,866	568,978	70,420
MMR011	Mon	Total	569,810	383,713	1,035,154	89,878
MMR011	Mon	15 - 19	87,161	10,420	3,207	124
MMR011	Mon	20 - 24	75,037	34,379	27,219	1,096
MMR011	Mon	25 - 29	71,740	50,172	69,372	3,081
MMR011	Mon	30 - 34	72,299	58,546	119,623	6,378
MMR011	Mon	35 - 39	71,294	60,755	165,512	10,917
MMR011	Mon	40 - 44	69,536	60,439	203,454	17,249
MMR011	Mon	45 - 49	64,375	56,849	220,653	22,903
MMR011	Mon	50 - 54	58,368	52,153	226,114	28,130
MMR012	Rakhine	Total	616,430	445,298	1,231,533	156,480
MMR012	Rakhine	15 - 19	99,586	15,339	5,079	297
MMR012	Rakhine	20 - 24	87,942	50,348	43,883	2,622
MMR012	Rakhine	25 - 29	88,015	70,018	109,988	7,649
MMR012	Rakhine	30 - 34	80,029	69,955	164,009	13,592
MMR012	Rakhine	35 - 39	71,562	64,551	199,060	20,383
MMR012	Rakhine	40 - 44	69,041	63,388	235,450	30,486
MMR012	Rakhine	45 - 49	63,033	58,463	239,737	38,013
MMR012	Rakhine	50 - 54	57,222	53,236	234,327	43,438
MMR013	Yangon	Total	2,330,271	1,430,085	3,010,546	206,080
MMR013	Yangon	15 - 19	336,217	38,252	10,169	393
MMR013	Yangon	20 - 24	362,399	134,685	91,174	3,942
MMR013	Yangon	25 - 29	333,799	200,748	238,707	11,036
MMR013	Yangon	30 - 34	308,738	229,384	395,043	20,267
MMR013	Yangon	35 - 39	278,378	224,973	505,602	29,895
MMR013	Yangon	40 - 44	263,904	219,966	584,526	39,682
MMR013	Yangon	45 - 49	241,125	204,905	604,628	47,446
MMR013	Yangon	50 - 54	205,711	177,172	580,697	53,419
MMR222	Shan	Total	1,606,709	1,159,899	3,248,328	385,206
MMR222	Shan	15 - 19	273,560	49,014	24,440	1,345
MMR222	Shan	20 - 24	241,981	138,921	154,247	8,471
MMR222	Shan	25 - 29	228,198	179,903	330,515	21,540
MMR222	Shan	30 - 34	207,305	182,079	463,426	37,625
MMR222	Shan	35 - 39	185,376	169,334	538,940	54,269
MMR222	Shan	40 - 44	176,999	164,506	602,879	76,044
MMR222	Shan	45 - 49	151,727	142,258	568,424	85,242
MMR222	Shan	50 - 54	141,563	133,884	565,457	100,670
MMR017	Ayeyarwady	Total	1,789,346	1,267,566	3,322,025	419,226
MMR017	Ayeyarwady	15 - 19	258,024	41,905	14,338	1,162
MMR017	Ayeyarwady	20 - 24	242,553	132,268	119,872	10,365
MMR017	Ayeyarwady	25 - 29	249,096	186,875	296,604	28,641
MMR017	Ayeyarwady	30 - 34	242,645	203,655	465,314	50,180
MMR017	Ayeyarwady	35 - 39	227,361	198,326	579,448	68,087
MMR017	Ayeyarwady	40 - 44	205,888	182,154	619,397	79,911
MMR017	Ayeyarwady	45 - 49	190,078	168,306	620,019	87,444
MMR017	Ayeyarwady	50 - 54	173,701	154,077	607,033	93,436
MMR018	Nay Pyi Taw	Total	335,373	234,957	568,894	61,820
MMR018	Nay Pyi Taw	15 - 19	47,501	7,760	2,225	139
MMR018	Nay Pyi Taw	20 - 24	50,045	26,622	20,850	1,130
MMR018	Nay Pyi Taw	25 - 29	51,059	38,134	52,158	3,516
MMR018	Nay Pyi Taw	30 - 34	47,322	39,607	79,043	6,309
MMR018	Nay Pyi Taw	35 - 39	41,075	35,672	95,217	9,086
MMR018	Nay Pyi Taw	40 - 44	36,790	32,445	106,198	11,975
MMR018	Nay Pyi Taw	45 - 49	33,599	29,788	111,029	14,513
MMR018	Nay Pyi Taw	50 - 54	27,982	24,929	102,174	15,152
